Id,Sales
1,5693.907
2,5693.907
3,5693.907
4,5693.907
5,5693.907
6,5693.907
7,5693.907
8,5693.907
9,5693.907
10,5693.907
11,5693.907
12,5693.907
13,5693.907
14,5693.907
15,5693.907
16,5693.907
17,5693.907
18,5693.907
19,5693.907
20,5693.907
21,5693.907
22,5693.907
23,5693.907
24,5693.907
25,5693.907
26,5693.907
27,5693.907
28,5693.907
29,5693.907
30,5693.907
31,5693.907
32,5693.907
33,5693.907
34,5693.907
35,5693.907
36,5693.907
37,5693.907
38,5693.907
39,5693.907
40,5693.907
41,5693.907
42,5693.907
43,5693.907
44,5693.907
45,5693.907
46,5693.907
47,5693.907
48,5693.907
49,5693.907
50,5693.907
51,5693.907
52,5693.907
53,5693.907
54,5693.907
55,5693.907
56,5693.907
57,5693.907
58,5693.907
59,5693.907
60,5693.907
61,5693.907
62,5693.907
63,5693.907
64,5693.907
65,5693.907
66,5693.907
67,5693.907
68,5693.907
69,5693.907
70,5693.907
71,5693.907
72,5693.907
73,5693.907
74,5693.907
75,5693.907
76,5693.907
77,5693.907
78,5693.907
79,5693.907
80,5693.907
81,5693.907
82,5693.907
83,5693.907
84,5693.907
85,5693.907
86,5693.907
87,5693.907
88,5693.907
89,5693.907
90,5693.907
91,5693.907
92,5693.907
93,5693.907
94,5693.907
95,5693.907
96,5693.907
97,5693.907
98,5693.907
99,5693.907
100,5693.907
101,5693.907
102,5693.907
103,5693.907
104,5693.907
105,5693.907
106,5693.907
107,5693.907
108,5693.907
109,5693.907
110,5693.907
111,5693.907
112,5693.907
113,5693.907
114,5693.907
115,5693.907
116,5693.907
117,5693.907
118,5693.907
119,5693.907
120,5693.907
121,5693.907
122,5693.907
123,5693.907
124,5693.907
125,5693.907
126,5693.907
127,5693.907
128,5693.907
129,5693.907
130,5693.907
131,5693.907
132,5693.907
133,5693.907
134,5693.907
135,5693.907
136,5693.907
137,5693.907
138,5693.907
139,5693.907
140,5693.907
141,5693.907
142,5693.907
143,5693.907
144,5693.907
145,5693.907
146,5693.907
147,5693.907
148,5693.907
149,5693.907
150,5693.907
151,5693.907
152,5693.907
153,5693.907
154,5693.907
155,5693.907
156,5693.907
157,5693.907
158,5693.907
159,5693.907
160,5693.907
161,5693.907
162,5693.907
163,5693.907
164,5693.907
165,5693.907
166,5693.907
167,5693.907
168,5693.907
169,5693.907
170,5693.907
171,5693.907
172,5693.907
173,5693.907
174,5693.907
175,5693.907
176,5693.907
177,5693.907
178,5693.907
179,5693.907
180,5693.907
181,5693.907
182,5693.907
183,5693.907
184,5693.907
185,5693.907
186,5693.907
187,5693.907
188,5693.907
189,5693.907
190,5693.907
191,5693.907
192,5693.907
193,5693.907
194,5693.907
195,5693.907
196,5693.907
197,5693.907
198,5693.907
199,5693.907
200,5693.907
201,5693.907
202,5693.907
203,5693.907
204,5693.907
205,5693.907
206,5693.907
207,5693.907
208,5693.907
209,5693.907
210,5693.907
211,5693.907
212,5693.907
213,5693.907
214,5693.907
215,5693.907
216,5693.907
217,5693.907
218,5693.907
219,5693.907
220,5693.907
221,5693.907
222,5693.907
223,5693.907
224,5693.907
225,5693.907
226,5693.907
227,5693.907
228,5693.907
229,5693.907
230,5693.907
231,5693.907
232,5693.907
233,5693.907
234,5693.907
235,5693.907
236,5693.907
237,5693.907
238,5693.907
239,5693.907
240,5693.907
241,5693.907
242,5693.907
243,5693.907
244,5693.907
245,5693.907
246,5693.907
247,5693.907
248,5693.907
249,5693.907
250,5693.907
251,5693.907
252,5693.907
253,5693.907
254,5693.907
255,5693.907
256,5693.907
257,5693.907
258,5693.907
